,Pais,Año,Emisiones Agricultura,Emisiones Carnicos,Pob.bovina
0,Spain,2013.0,31.33811,24.495,10672.86
1,Spain,2014.0,32.62116,25.19307,11428.54
2,Spain,2015.0,33.23625,25.93048,11618.57
3,Spain,2016.0,33.30531,26.18989,11928.79
4,Spain,2017.0,34.08483,26.63711,12272.08
5,Spain,2018.0,33.97141,26.65623,12345.57
6,Spain,2019.0,33.89836,26.78479,12515.04
7,Spain,2020.0,34.67495,27.26267,12571.77
8,Spain,2021.0,34.36939,27.36669,12231.6
9,France,2013.0,70.85305,49.01668,33440.88
10,France,2014.0,72.41057,49.57862,33755.95
11,France,2015.0,72.14308,49.72457,34081.020000000004
12,France,2016.0,71.45349,49.45012,33997.01
13,France,2017.0,71.48286,48.86634,32876.64
14,France,2018.0,70.52484,48.17441,32401.5
15,France,2019.0,68.83305,47.33856,31605.47
16,France,2020.0,67.3635,46.61328,31116.86
17,France,2021.0,66.21386,45.51829,30240.85
18,Ireland,2013.0,20.50414,15.21125,11810.04
19,Ireland,2014.0,20.05624,15.0732,11663.21
20,Ireland,2015.0,20.62034,15.60022,12133.59
21,Ireland,2016.0,21.16149,16.04089,12544.57
22,Ireland,2017.0,21.89767,16.61042,12638.82
23,Ireland,2018.0,22.71921,17.01615,12382.95
24,Ireland,2019.0,21.78978,16.53253,12225.79
25,Ireland,2020.0,22.13328,16.77133,12350.62
26,Ireland,2021.0,22.95353,17.1909,12639.93
27,Italy,2013.0,32.42712,21.40145,11066.49
28,Italy,2014.0,32.14417,21.09252,10798.93
29,Italy,2015.0,32.10167,21.14733,10891.19
30,Italy,2016.0,33.0118,21.43303,11253.39
31,Italy,2017.0,32.58081,21.54165,11327.2
32,Italy,2018.0,32.30649,21.34363,11254.28
33,Italy,2019.0,32.19029,21.2828,11483.89
34,Italy,2020.0,33.42651,21.48137,11542.7
35,Italy,2021.0,32.71722,21.25304,11285.64
36,Poland,2013.0,32.46468,17.03994,9778.4
37,Poland,2014.0,32.36407,17.17146,10005.13
38,Poland,2015.0,31.70548,17.36665,10527.8
39,Poland,2016.0,32.0671,17.09022,11043.1
40,Poland,2017.0,33.35959,17.67603,11130.6
41,Poland,2018.0,33.68837,17.99255,11333.9
42,Poland,2019.0,32.59516,18.07382,11513.2
43,Poland,2020.0,34.05167,18.47249,11548.1
44,Poland,2021.0,34.03526,18.55131,11897.3
