,Pais,Año,Emisiones Agricultura
0,Austria,2012,7.21242
1,Austria,2013,7.21117
2,Austria,2014,7.34622
3,Austria,2015,7.376
4,Austria,2016,7.48882
5,Austria,2017,7.44413
6,Austria,2018,7.3302
7,Austria,2019,7.22121
8,Austria,2020,7.19746
9,Austria,2021,7.22116
10,Belgium,2012,9.57949
11,Belgium,2013,9.57971
12,Belgium,2014,9.7082
13,Belgium,2015,9.71518
14,Belgium,2016,9.60171
15,Belgium,2017,9.65314
16,Belgium,2018,9.53309
17,Belgium,2019,9.55992
18,Belgium,2020,9.5161
19,Belgium,2021,9.41419
20,Bulgaria,2012,4.985
21,Bulgaria,2013,5.4322
22,Bulgaria,2014,5.85205
23,Bulgaria,2015,5.89094
24,Bulgaria,2016,6.19809
25,Bulgaria,2017,6.16552
26,Bulgaria,2018,6.02491
27,Bulgaria,2019,6.00404
28,Bulgaria,2020,5.97819
29,Bulgaria,2021,6.10634
30,Switzerland,2012,6.15761
31,Switzerland,2013,6.07941
32,Switzerland,2014,6.21431
33,Switzerland,2015,6.11272
34,Switzerland,2016,6.09753
35,Switzerland,2017,6.05964
36,Switzerland,2018,6.00013
37,Switzerland,2019,5.89544
38,Switzerland,2020,5.85868
39,Switzerland,2021,5.89773
40,Cyprus,2012,0.55521
41,Cyprus,2013,0.51301
42,Cyprus,2014,0.49908
43,Cyprus,2015,0.50595
44,Cyprus,2016,0.52982
45,Cyprus,2017,0.54467
46,Cyprus,2018,0.55014
47,Cyprus,2019,0.56546
48,Cyprus,2020,0.60316
49,Cyprus,2021,0.6262
50,Czechia,2012,7.5729
51,Czechia,2013,7.48456
52,Czechia,2014,7.55994
53,Czechia,2015,8.1645
54,Czechia,2016,8.40522
55,Czechia,2017,8.19144
56,Czechia,2018,7.98979
57,Czechia,2019,7.93344
58,Czechia,2020,7.71783
59,Czechia,2021,7.84454
60,Germany (until 1990 former territory of the FRG),2012,60.05238
61,Germany (until 1990 former territory of the FRG),2013,60.852
62,Germany (until 1990 former territory of the FRG),2014,62.10772
63,Germany (until 1990 former territory of the FRG),2015,61.96723
64,Germany (until 1990 former territory of the FRG),2016,61.54613
65,Germany (until 1990 former territory of the FRG),2017,60.86686
66,Germany (until 1990 former territory of the FRG),2018,59.26536
67,Germany (until 1990 former territory of the FRG),2019,58.52501
68,Germany (until 1990 former territory of the FRG),2020,57.55188
69,Germany (until 1990 former territory of the FRG),2021,56.33289
70,Denmark,2012,12.06125
71,Denmark,2013,12.05628
72,Denmark,2014,12.19266
73,Denmark,2015,12.02943
74,Denmark,2016,12.23595
75,Denmark,2017,12.28234
76,Denmark,2018,12.14628
77,Denmark,2019,12.07911
78,Denmark,2020,12.38878
79,Denmark,2021,12.07439
80,Estonia,2012,1.40972
81,Estonia,2013,1.4516
82,Estonia,2014,1.49819
83,Estonia,2015,1.45991
84,Estonia,2016,1.42611
85,Estonia,2017,1.47863
86,Estonia,2018,1.48033
87,Estonia,2019,1.55955
88,Estonia,2020,1.56974
89,Estonia,2021,1.58394
90,Greece,2012,8.83948
91,Greece,2013,8.75465
92,Greece,2014,8.34714
93,Greece,2015,8.16596
94,Greece,2016,8.15739
95,Greece,2017,8.18934
96,Greece,2018,8.12104
97,Greece,2019,8.10053
98,Greece,2020,8.15385
99,Greece,2021,8.04599
100,Spain,2012,31.62381
101,Spain,2013,31.33811
102,Spain,2014,32.62116
103,Spain,2015,33.23625
104,Spain,2016,33.30531
105,Spain,2017,34.08483
106,Spain,2018,33.97141
107,Spain,2019,33.89836
108,Spain,2020,34.67495
109,Spain,2021,34.36939
110,European Union - 27 countries (from 2020),2012,375.53513
111,European Union - 27 countries (from 2020),2013,377.71106
112,European Union - 27 countries (from 2020),2014,382.76323
113,European Union - 27 countries (from 2020),2015,384.28024
114,European Union - 27 countries (from 2020),2016,386.35086
115,European Union - 27 countries (from 2020),2017,388.16275
116,European Union - 27 countries (from 2020),2018,385.14408
117,European Union - 27 countries (from 2020),2019,380.24796
118,European Union - 27 countries (from 2020),2020,381.95683
